DATE|Bit Rate (Mbps)|Frame Rate(Fps)|Dropped Frame Count|Dropped Frames
Wed Feb  1 16:55:22 2017|5.87514953613|15.6|0|[]
Wed Feb  1 16:55:27 2017|8.17492218018|18.2|0|[]
Wed Feb  1 16:55:32 2017|9.51243896484|16.4|2|[5120, 5129]
Wed Feb  1 16:55:37 2017|8.4626953125|13.8|22|[5135, 5136, 5137, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 5145, 5146, 5147, 5148, 5149, 5182, 5188, 5194, 5203, 5209, 5212, 5218]
Wed Feb  1 16:55:42 2017|10.8750106812|15.2|16|[5248, 5280, 5268, 5284, 5253, 5255, 5288, 5257, 5261, 5230, 5236, 5294, 5272, 5241, 5274, 5277]
Wed Feb  1 16:55:47 2017|8.89590148926|12.2|27|[5378, 5383, 5384, 5385, 5389, 5391, 5392, 5398, 5399, 5401, 5331, 5332, 5334, 5337, 5339, 5341, 5344, 5346, 5349, 5350, 5352, 5354, 5356, 5361, 5366, 5367, 5372]
Wed Feb  1 16:55:52 2017|9.72905578613|13.2|25|[5404, 5407, 5408, 5413, 5417, 5421, 5426, 5429, 5431, 5436, 5438, 5440, 5443, 5444, 5447, 5448, 5453, 5460, 5468, 5473, 5474, 5478, 5479, 5483, 5488]
Wed Feb  1 16:55:57 2017|8.51483001709|15.2|12|[5504, 5569, 5506, 5579, 5509, 5527, 5516, 5538, 5495, 5530, 5563, 5500]
Wed Feb  1 16:56:02 2017|8.93539123535|13.4|27|[5632, 5636, 5640, 5641, 5644, 5646, 5649, 5653, 5657, 5661, 5665, 5674, 5584, 5586, 5591, 5595, 5597, 5599, 5606, 5608, 5612, 5614, 5617, 5620, 5623, 5627, 5631]
Wed Feb  1 16:56:07 2017|9.03746490479|18.0|0|[]
Wed Feb  1 16:56:12 2017|7.50017089844|11.8|27|[5771, 5778, 5779, 5784, 5788, 5791, 5794, 5796, 5798, 5801, 5803, 5804, 5809, 5811, 5813, 5815, 5818, 5819, 5822, 5823, 5827, 5828, 5831, 5834, 5837, 5841, 5848]
Wed Feb  1 16:56:17 2017|9.24429016113|15.2|19|[5921, 5924, 5893, 5894, 5864, 5898, 5867, 5932, 5901, 5871, 5905, 5874, 5877, 5878, 5881, 5887, 5885, 5886, 5855]
Wed Feb  1 16:56:22 2017|10.0306869507|19.2|0|[]
Wed Feb  1 16:56:27 2017|9.52479553223|14.2|12|[6114, 6117, 6121, 6091, 6124, 6094, 6098, 6099, 6103, 6106, 6108, 6111]
Wed Feb  1 16:56:32 2017|9.0323348999|14.2|19|[6145, 6135, 6149, 6150, 6192, 6186, 6155, 6158, 6141, 6160, 6138, 6130, 6164, 6167, 6132, 6170, 6181, 6174, 6175]
Wed Feb  1 16:56:37 2017|8.21747436523|11.4|32|[6275, 6276, 6278, 6279, 6284, 6285, 6289, 6290, 6293, 6295, 6298, 6300, 6302, 6303, 6221, 6223, 6227, 6231, 6235, 6236, 6238, 6244, 6245, 6248, 6252, 6256, 6261, 6263, 6265, 6268, 6269, 6270]
Wed Feb  1 16:56:42 2017|8.65004882812|18.0|10|[6336, 6308, 6309, 6312, 6313, 6317, 6319, 6321, 6328, 6334]
